prompt,image_path
"**<https://s.mj.run/q4docgFxpQo> three people in sillouette facing the sunset over manhattan one holding a bass, one holding a guitar, and another on the drums green fairly lights all around calm peaceful vibrant colorful octane render** - <@617427991626252289>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_24580.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_4482.png
"**California Native Americans epic landscape painting mountain range concept art a lone outpost realistic character concept art a savage viking warrior wearing leathers and fur with a helmet, 4K symmetrical portrait, character --ar 16:8** - Upscaled (Max) by <@959192950846410812> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_11288.png
******boom box radio fantasy fabulous eccentric design unique | one of a kind | museum piece | tuner hundreds of knobs speakers  impossible chaotic graphic eq cassette tape deck vintage electronics | weird angles | speakers dials knobs chaos randomness impossible  lots of knobs lots of buttons | obtuse angles | weird hyper realistic 1980 80s 70s 1981 1982 1983 1984 1977 black white and red  crimson  black and white  maximalist detailed full frame takes up whole frames lol the way to the edges  --aspect 19:9** - <@986404200177094667> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_420.png
"**<https://s.mj.run/EpK9dljJHp0> multicolored blacklight graffiti painting of a Beautiful cow god with VR headset and necklace : : Beksinkski : : 4k symmetrical portrait, retro dark vintage sci-fi** - <@979016566094045215> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_27477.png
**<https://s.mj.run/lednnbEfPD0>** - <@264540572755165184>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_1090.png
"**<https://s.mj.run/E3P7j5jO6Eo> evil rat doctor in hazmat suit looking over medical beds filled with humans in vacuum sealed plastic body bags, dark dramatic overhead lighting --ar 16:9** - Upscaled by <@522910479941763074>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_9268.png
"See you later, Amazonian full body catogator😸",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_4681.png
"**stunning devil of hell:: photography of a demon wrapped in a silk sarong in the wind, anime waifu style character, clean soft lighting, backlit beautiful face, clean brush stroke, 8k character concept art, by WLOP and artgerm, 3d, --ar 2:3 --uplight --iw 1.8 --stop 80** - <@688517415285555389>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_27652.png
"**a human soul represented by neon digital pixelization, 8k, octane rendered** - Upscaled by <@423504418445590529> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_1035.png
**<https://s.mj.run/0L7JeLqWa5o> Marshmallows and Rocks wrapped in plastic foil on a Metal structure** - Upscaled by <@797513787133394944>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_29278.png
"**human head made of metal, head with spikes made of glas, back light** - <@797513787133394944>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_29090.png
********60s liquid light show projections colors running together smeary smearing glowing deep color palette --aspect 16:9** - Upscaled by <@986404200177094667> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_11138.png
**<https://s.mj.run/DSLZ_-scjko> liquid wooden chainmail ferrofluid:: ultraviolet knight in armour portrait by Annie Leibovitz:: wooden glowing eyes outline:: beautiful golden braided hair:: --no blurry blur bokeh --ar 9:16** - Upscaled by <@583324108503384065>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_395.png
"**a photo of a house by todd hido, night, dramatic, fog, —ar 1:1** - <@522910479941763074>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_12814.png
"**Archaeopteryx fossil in rock, detailed, zoomed out, full body, 8k** - Upscaled by <@713319244347211797> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_12485.png
"**<https://s.mj.run/iOVK6ojAbgg> 🤪** - Upscaled by <@167082239794872320> (metered, fast)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_2091.png
**retro-futuristic impossible asymmetrical soviet brutalist random architecture utopia plants everywhere weird bizarre unique raygun gothic style crowded maximalist highly detailed environment perspective vanishing point horizon octane render --aspect 9:21** - Upscaled (Max) by <@986404200177094667> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_28574.png
**Full Body Action Pose Gunmetal Gundam Exosuit Jaeger Mech Suit::2 Unreal Octane Redshift Blender Houdini Artstation:: Hyper Detailed Realistic:: 8k Cinematic High Definition --no Orange Or Yellow --ar 16:9** - <@983731695691907102>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_28503.png
"**( )( )==> Thick Glossy Heavy Viscosity, Cool Colors, Dragon Head With Stringy White Smoke, 8k Cinematic High Resolution Unreal Octane Houdini Redshift Cycles Blender Artstation --wallpaper** - <@983731695691907102>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_29022.png
**itchy and scratchy** - <@298406433605681154> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_16776.png
"**<https://s.mj.run/_QuFPHfLd88> long wavy twisting cat floating in colorful glowing swirling whisps, emerging from the void, shallow depth of field, occult inspired, cosmic horror, chaos magic --ar 10:45** - Upscaled (Max) by <@412798156477169664> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_28276.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_3801.png
**steampunk fox portrait** - Upscaled by <@941060375502270505>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_2738.png
**A space colony on an asteroid floating in space | lots of buildings and structures | utopia | plants everywhere | jack kirby | retro futurism | raygun gothic style | ghibli matte painting | wide shot | establishing shot | you can see the outline of the entire asteroid space colony --aspect 19:9** - <@986404200177094667> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_10792.png
**<https://s.mj.run/m45i70MPQtI> <https://s.mj.run/UekbeqYDGgw>** - Upscaled by <@983731695691907102>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_23885.png
"**<https://s.mj.run/IseSHgqIa0M> , acrylic painting , Ultra detailed, 8k --ar 16:9** - Upscaled by <@713319244347211797>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_10850.png
"**the ideal human, photorealistic, angry, sad, happy, glad, dark lighting** - Upscaled (Max) by <@938206455838965851>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_18731.png
"**<https://s.mj.run/fYIQJZ5IOOA> cats with many eyes floating in colorful glowing swirling whisps, occult inspired, emerging from the void, shallow depth of field --aspect 15:5** - <@412798156477169664> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_2938.png
"**<https://s.mj.run/biqF-RUYu6Y> wide-view,gigantic realistic motorcycle shape house and Kawasaki motorcycle, animation city,huge, sophisticated beautiful color illustration, top gun, unreal engine 5, trending on artstation and Pinterest --w 1920 --h 1080** - <@410392306366283778>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_26465.png
"**Chuu Chloe, portrait , beautiful , mask, tatoos, earing, necklake, pinterest, insanely detail and intricate, golden ratio, hyper maximalist, matte painting, cinematic, epic by leekent, Lee Kent, irakli nadar —ar 16:9 —uplight —no blur** - <@958942713489801246>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_22531.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_22468.png
"**<https://s.mj.run/LlrT70hng2o> dark souls final boss, movie quality, chaos, order, 8k, photorealism, highly detailed and intricate hd, octane render, cinematic, dynamic lighting** - <@703784144139976765>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_26907.png
"**<https://s.mj.run/dyrTPIag62Q> , 8k --ar 2:3** - <@713319244347211797>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_17242.png
"**Four consistent styles of circular logotype UI design:""soil"",""water"",""wind"",""fire""** - <@966701559553601566>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_27629.png
**1970s Howard Johnsons exterior 1979 1978 1977 1976 1975 1974 1973 Pizza Hut exterior retro futurism raygun Gothic style Fast food chain restaurant exterior tacos taco chain 1970s 70s chaos randomness Wienerschnitzel exterior --aspect 19:9** - Upscaled (Max) by <@986404200177094667> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_3202.png
"**<https://s.mj.run/qIlkfrxqI90> inside the robot, gears and wires, sci-fi, brutalist, by Karel Thole and Mike Mignola** - Upscaled by <@977252506335858758> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_1209.png
test,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_4951.png
"**stormtrooper, helmet, insanely detailed and intricate, golden ratio, hypermaximalist, elegant, ornate, luxury, elite, ominous, haunting, matte painting, cinematic, cgsociety, James jean, Brian froud, ross tran, Laputa, no blur —ar 2:3 —uplight --no blur** - <@522910479941763074>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_17087.png
"**ghostly psychedelic fractal clouds in night sky over bubbling black oil sea, Egyptian funerary boat, mist, cinematic, establishing shot, 8k, octane render :: orange, teal :: --ar 4:3** - Upscaled by <@713319244347211797>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_25817.png
"**spooky house, hyper detailed, horror lighting, movie quality, --ar 16:9** - <@298406433605681154> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_15335.png
"**<https://s.mj.run/Q9TYM7Ar2fo> chernobyl liquidators entering a abandoned flooded room in a nuclear powerplant, cinematic shot, dramatic lighting by flickering red lamps, red and black color palette, closeup of heads, gas masks, hyper realistic, cinematic::10, green accents::10, --ar 21:9** - Upscaled (Max) by <@522910479941763074>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_4790.png
"**Grim Reaper in a Horror Forest With psychedelic glowing colorfull mushrooms, realistic , Concept Art, Horror Art, cinematic, Illustration, Trendy in artstation, —aspect 2:3** - <@264159385700401153> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_11522.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_16549.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_17962.png
"**ghostly psychedelic fractal clouds in night sky over bubbling black oil sea, Egyptian funerary boat, mist, cinematic, establishing shot, 8k, octane render :: orange, teal :: --ar 4:3** - Upscaled by <@713319244347211797>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_25859.png
**Keith Urban illustration Main Street comic 1970’s --ar 8:11** - <@959192950846410812>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_20331.png
"**<https://s.mj.run/YaX7nbr1T3g> A full body shot of a tabby cat, --iw 1.5 --fast** - <@873483547866976256> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_27280.png
"**scifi factory creating huge mech robots, dramatic overhead lighting, steam and sparks in the air, neon lighting underneath** - <@298406433605681154>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_5178.png
"**Batman shoplifting, security cam footage** - <@601909449883648022> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_15379.png
**sound traveling through the brain** - <@361704877832929282>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_23520.png
"**<https://s.mj.run/pTcqx-SB728> cinematic, 4k, realistic, hazy, portal, contemporary dance, humanoid, highly detailed, alien, cinematic lighting, --uplight** - <@889218405666799787>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_24189.png
"**<https://s.mj.run/Zw8eAajEIDg> condo building on a big rock, Yerka style::1 Ansel Adams::0.5 --iw 5 --aspect 3:2** - <@902656786895605840>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_5267.png
yes i may take a brief nap but ill be up after that im central time US also,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_6904.png
"**<https://s.mj.run/-KF-wM_xzfg> an oil painting of the endless vast cosmos, opening of the sun revealing a destruction of the soul, the mind is radiant but scared, everything that exists is an experience that can be felt but not seen, the eye in the middle speaks words of wisdom, let it be, film grain, film texture** - <@292227864336531456>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_6077.png
